vel,angs,logCountM,distDif,clickD,clickTotalM,backSpaceM,leftSideM,rigthSideM,stressLevelM
2804.4779901758347,39.11353278585988,547,2402.3955839743976,34634.0,4,0,0,0,2
3246.5568400158118,36.92690258151202,450,2781.456641558785,16191.0,3,0,0,0,2
5792.740963896331,35.676444292123854,939,5016.659811703411,67166.0,4,0,0,0,2
4172.658719742615,28.453315583988225,423,3666.376463765276,58864.0,4,0,0,0,2
690.9903004573587,25.81472863572625,79,534.4864672433457,5457.0,1,0,0,0,2
1521.8186989638084,27.503016888070945,209,1115.4643256011336,69325.0,4,0,0,0,2
911.5023927706876,26.95954457834989,145,336.2377662815393,96219.0,4,0,0,0,2
1559.5033000361996,25.472135991263343,244,769.9070578575561,31912.0,4,0,0,0,2
430.6822973879717,28.16521090253792,61,135.77711123626534,19464.0,3,0,0,0,2
379.3465878122005,27.335882341107816,98,27.64436742787501,10129.0,3,0,0,0,2
388.8682961598757,29.72484570371288,91,407.1295385551405,30448.0,4,0,0,0,2
3966.401056031899,26.845900243055414,713,3197.648944680277,17991.0,3,0,0,0,2
9623.036270414066,28.812262767110308,907,9259.102872779082,61114.0,4,0,0,0,2
2694.093271336706,29.36002528510689,583,2344.367893555766,22592.0,4,0,0,0,2
5987.901626655126,28.170061857322917,741,5023.352488421564,28640.0,5,0,0,0,2
2893.491858240023,20.10056136782305,424,914.6709588658332,21936.0,4,0,0,0,2
2305.715467169665,20.44272933550405,434,1517.2616832805795,38656.0,5,0,0,0,2
1694.2716330036992,24.327783491164045,273,744.0222031803444,16416.0,5,0,0,0,2
1919.707614449768,22.72351317206595,531,1196.021235329278,31400.0,6,0,0,0,2
6799.557156524437,39.22830703645004,598,5583.12771021602,81576.0,4,0,0,0,2
4421.342305149048,46.348232159496575,440,3631.7672008294576,67048.0,4,0,1,0,2
1906.216415841204,55.01422971188376,316,1250.723377630281,19795.0,2,0,0,0,2
1478.7609147604298,49.27900060060895,246,1026.978013217235,17534.0,3,0,0,0,2
332.3386859229505,38.18355173548771,7,0.0,34864.0,4,0,0,0,2
148.54040480906616,37.25002993797556,5,19.123535974861426,22848.0,3,0,0,0,2
743.1705789140497,37.83534856815746,7,160.01666266538382,30636.0,4,0,0,0,2
88.08152781885241,37.76565678837782,5,60.18436045708239,27241.0,3,0,0,0,2
10187.45809971484,22.272491876205777,342,9704.310171207017,180155.0,4,0,1,0,2
155.57890200621728,24.560476067689187,62,291.8782135603672,32553.0,3,0,0,0,2
1499.1557185336476,15.322969031669016,84,846.3359631958178,59345.0,2,0,0,0,2
2751.833525610728,25.753454807871165,448,2204.062103489184,84935.0,5,0,1,0,2
3659.725071965018,26.51512921494836,465,1998.2365609267329,89295.0,3,0,0,0,3
4124.812279467247,22.715913867700788,629,3556.424991139423,108487.0,3,0,0,1,3
4721.256358754801,27.5414406243476,380,4781.223458280124,76096.0,3,0,0,0,3
3566.7548297791923,22.579239127566947,506,3109.604608881917,18423.0,2,0,0,0,3
4475.413391789455,30.28368510171014,382,1559.4649099151045,22360.0,4,0,0,0,2
3277.4546697893115,29.693631493213317,292,2935.016948184552,40732.0,3,0,0,0,2
1142.0575840704623,29.391226852691148,153,594.2469174656195,21782.0,3,0,0,0,2
1277.938901124396,23.76613792271244,170,1065.8523914859973,29068.0,3,0,0,0,3
5875.472180662014,28.940199260947228,1159,4850.344922525081,43940.0,5,0,0,0,2
5078.553035470951,34.033998798436244,844,4765.702754171056,45134.0,3,0,0,0,1
4011.528178884989,32.45773064443882,1129,3497.656882710914,56074.0,3,0,0,0,2
11364.10205834116,38.281507768395365,2367,4926.193899914072,85829.0,2,0,0,0,1
8064.228694904581,24.84901652479104,795,3742.030680593311,160449.0,4,0,0,0,3
3289.0038403647777,23.06530364441598,416,2495.2956464822005,22216.0,2,0,0,0,3
1743.8024604517493,24.00131293287273,251,1361.9087203024478,41514.0,4,0,0,0,3
3011.0634980214986,30.392185650823407,290,2437.091623302356,57241.0,3,0,0,0,2
8122.274026833623,34.91298927102383,634,5646.930261182831,79528.0,7,0,3,0,2
11678.977410986896,30.721250722364104,840,10620.457087543524,183052.0,8,0,3,0,2
6927.954443324858,38.526672735890685,444,5663.098391464684,79440.0,7,0,2,0,2
11154.899187210009,28.60973699661906,699,8839.838299768797,119081.0,11,0,3,0,2
3431.7714697110428,26.84305432112632,687,2712.570575420264,27954.0,4,0,0,0,2
2392.4511813277786,25.745342748813343,698,1922.7683314510232,15348.0,2,0,0,0,2
8005.142869415272,26.10515474823718,1569,7775.356740890226,102150.0,3,0,0,0,2
4012.814492154057,22.542631790773907,1050,3268.1385596869054,44509.0,2,0,0,0,3
3431.7714697110428,26.84305432112632,687,2712.570575420264,27954.0,4,0,0,0,2
2392.4511813277786,25.745342748813343,698,1922.7683314510232,15348.0,2,0,0,0,2
8005.142869415272,26.10515474823718,1569,7775.356740890226,102150.0,3,0,0,0,2
4012.814492154057,22.542631790773907,1050,3268.1385596869054,44509.0,2,0,0,0,3
4698.356087941125,24.18781779272314,621,4205.284845313414,156485.0,4,0,0,0,3
2626.1186320379206,26.830092743822856,372,2111.487071340191,23793.0,2,0,0,0,3
1781.9686043449574,24.75323528337517,290,1504.938388604371,36554.0,3,0,0,0,3
3754.033310781247,24.62366393441848,442,3403.0158998896995,69975.0,4,0,0,0,3
6326.056078863755,32.30459946736123,527,5473.808467450711,45582.0,4,0,0,0,2
3595.459692540342,31.682017338304693,491,2932.31452723356,18321.0,3,0,0,0,2
7445.82753939763,28.909213756677204,583,6938.292543358812,86768.0,3,0,0,0,2
6466.117344133477,29.936776353112734,597,5906.95201651275,19265.0,3,0,0,0,2
6624.823907415137,20.501384814386714,503,5095.234751749602,36387.0,3,0,0,0,3
4532.865769482814,21.01459063700264,449,4055.164075314199,34297.0,3,0,0,0,3
2985.7045226031173,19.706933971096863,317,1510.8837432721375,25711.0,5,0,1,0,3
2945.0169502104072,19.564520544491312,494,2498.766978514044,28802.0,2,0,0,0,3
4571.962960232531,30.102433296253555,626,3451.6407044656103,26391.0,3,0,0,0,2
2798.357959674985,22.707798165822208,462,2198.354250382198,59775.0,3,0,0,0,2
1133.390475157541,24.191567856122862,195,1107.183991626544,69533.0,3,0,0,0,2
2341.9812685902725,24.900876284382743,428,1969.4741761405933,155747.0,3,0,0,0,2
3360.698283357087,26.73751122128302,291,1315.0202197338658,56418.0,4,0,0,0,2
337.3478171940914,29.47037564627145,135,95.94080898194277,23967.0,3,0,0,0,2
187.37230819013277,29.025916568493447,87,354.5495080760794,21255.0,3,0,0,0,2
993.8830575186672,40.809499977672026,202,621.1519209097755,21703.0,1,0,0,0,2
3174.566976261998,24.279343890800323,632,1765.0988822338304,24393.0,5,0,0,0,3
2385.049114427402,28.42183582393472,764,1639.1810594778644,41000.0,5,0,0,0,3
1115.1928386084633,27.34874396531072,372,798.8380844936205,11780.0,2,0,0,0,3
1398.7175634762089,27.082899790831178,616,843.9572895061094,37418.0,4,0,0,0,3
4168.278125205621,36.43337286401784,327,1941.040851810932,70759.0,5,0,0,0,2
3996.2774556822937,27.998931500230185,383,3529.365160339695,110808.0,3,0,0,0,2
1074.726070595571,28.55613077719517,126,549.785182684979,42159.0,3,0,0,0,2
4391.504981046358,27.11653844113242,310,3906.570309337888,98735.0,3,0,0,0,2
3175.613843486283,29.11336926041585,427,2620.681793676409,39999.0,3,0,0,0,3
3273.25015205964,20.26763016977566,396,2932.957645323446,47929.0,2,0,0,0,3
5322.577707179447,26.276068185443552,551,5202.731039406831,40855.0,4,0,0,0,3
2046.9810106935247,25.209177284011247,361,1605.155179600133,24593.0,3,0,0,0,3
3175.613843486283,29.11336926041585,427,2620.681793676409,39999.0,3,0,0,0,3
3273.25015205964,20.26763016977566,396,2932.957645323446,47929.0,2,0,0,0,3
5322.577707179447,26.276068185443552,551,5202.731039406831,40855.0,4,0,0,0,3
2046.9810106935247,25.209177284011247,361,1605.155179600133,24593.0,3,0,0,0,3
2589.052153114425,28.9253462938058,556,1254.458833002994,20854.0,3,0,0,0,2
2370.3348670415653,33.175680188689306,496,2261.283210242767,33760.0,4,0,0,0,2
1786.672279420009,30.97998830281829,411,1012.8108133500672,30903.0,2,0,0,0,2
1644.1184283604157,29.715455114857143,381,1590.236416577494,29049.0,3,0,0,0,2
14072.109447000415,15.616623834810175,1453,12027.041934091832,97859.0,4,0,0,0,2
2654.5157616782,16.420258804001506,871,2141.315356309921,19857.0,4,0,0,0,2
11544.598561371367,15.518392753492035,1382,10531.54753416262,82751.0,6,0,1,0,2
6863.720653264674,13.417815296624042,1581,6326.899007405425,34689.0,4,0,1,0,3
9562.249255291652,24.719056047918496,875,8812.948450293336,93433.0,6,0,1,0,3
9472.626881386484,27.636180934224303,1139,8299.600878419275,87249.0,5,0,1,0,3
11354.5455833637,24.63864838164068,1573,10533.881711275208,186918.0,5,0,2,0,3
1160.7093538725744,27.239279868902923,224,592.2124764988083,23118.0,3,0,0,0,3
1070.381452721459,32.709633879450976,360,598.0252832659653,30447.0,4,0,0,0,2
565.0008906960314,30.84537481195869,255,246.53674905578717,47911.0,2,0,0,0,2
848.9858047393456,30.34075300955898,287,347.4435414573277,41195.0,4,0,0,0,2
835.3369427509299,34.83702666766985,211,52.0717666071215,49288.0,5,0,0,0,2
1597.45918656576,41.30278080831763,182,1176.604846529863,27523.0,4,0,0,0,1
1282.1463358012654,41.66167455988124,275,785.2939811341614,24714.0,3,0,0,0,1
1276.4950993078248,37.02643336784603,318,1023.5468956142364,48792.0,3,0,0,0,1
